ESPECIFICACAO,LOCALIZACAO,M^2,ALQUEIRE PAULISTA
CAMPUS SEDE,MARINGA,1240323,51.25
NUCLEO DE PESQUISAS APLICADAS A AGRICULTURA (NUPAGRI),MARINGA,6768,0.28
FAZENDA EXPERIMENTAL DE IGUATEMI,DISTRITO DE IGUATEMI,1547910,63.96
CENTRO DE PESQUISA EM AQUICULTURA DE FLORIANO,DISTRITO DE FLORIANO,121000,5
BASE AVANCADA NUPELIA,PORTO RICO,94680,2.97
CAMPUS REGIONAL DO ARENITO,CIDADE GAUCHA,467060,19.3
CAMPUS REGIONAL DE CIANORTE,CIANORTE,38564.38,1.59
CAMPUS REGIONAL DO NOROESTE (COLEGIO),DIAMANTE DO NORTE,121000,5
CAMPUS REGIONAL DO NOROESTE (FAZENDA),DIAMANTE DO NORTE,718110.8,29.67
CAMPUS REGIONAL DE GOIOERE,GOIOERE,238025.88,9.84
CAMPUS REGIONAL DE UMUARAMA (SEDE),UMUARAMA,30942.7,1.27
CAMPUS REGIONAL DE UMUARAMA (FAZENDA),UMUARAMA,"591.314,00(1)",24.43
CAMPUS REGIONAL DO VALE DO IVAI,IVAIPORA,11666,0.48
CAMPUS REGIONAL DO VALE DO IVAI,IVAIPORA,52663.72,2.18
TOTAL,-,5280028.48,217.22
